霸王别姬,"主演：张国荣,张丰毅,巩俐",上映时间：1993-01-01
指环王3：王者无敌,"主演：伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",上映时间：2004-03-15
哈利·波特与魔法石,"主演：丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",上映时间：2002-01-26
无间道,"主演：刘德华,梁朝伟,黄秋生",上映时间：2003-09-05
楚门的世界,"主演：金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",上映时间：1998-06-01(美国)
蝙蝠侠：黑暗骑士,"主演：克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",上映时间：2008-07-18(美国)
射雕英雄传之东成西就,"主演：张国荣,梁朝伟,张学友",上映时间：1993-02-05(中国香港)
教父2,"主演：阿尔·帕西诺,罗伯特·德尼罗,黛安·基顿",上映时间：1974-12-12(美国)
指环王2：双塔奇兵,"主演：伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",上映时间：2003-04-25
机器人总动员,"主演：本·贝尔特,艾丽莎·奈特,杰夫·格尔林",上映时间：2008-06-27(美国)
天堂电影院,"主演：菲利浦·诺瓦雷,赛尔乔·卡斯特利托,蒂兹亚娜·罗达托",上映时间：1988-11-17(意大利)
活着,"主演：葛优,巩俐,牛犇",上映时间：1994-05-18(法国)
拯救大兵瑞恩,"主演：汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔",上映时间：1998-07-24(美国)
哈尔的移动城堡,"主演：倍赏千惠子,木村拓哉,美轮明宏",上映时间：2004-11-20(日本)
盗梦空间,"主演：莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",上映时间：2010-09-01
东邪西毒,"主演：张国荣,梁朝伟,刘嘉玲",上映时间：1994-09-17
忠犬八公的故事,"主演：Forest,理查·基尔,琼·艾伦",上映时间：2010-03-12(英国)
幽灵公主,"主演：松田洋治,石田百合子,田中裕子",上映时间：1997-07-12(日本)
搏击俱乐部,"主演：爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",上映时间：1999-10-15(美国)
疯狂原始人,"主演：尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹",上映时间：2013-04-20
风之谷,"主演：岛本须美,永井一郎,坂本千夏",上映时间：1992
阿凡达,"主演：萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",上映时间：2010-01-04
V字仇杀队,"主演：娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞",上映时间：2006-03-17(美国)
放牛班的春天,"主演：热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔",上映时间：2004-10-16
十二怒汉,"主演：亨利·方达,李·科布,马丁·鲍尔萨姆",上映时间：1957-04-13(美国)
当幸福来敲门,"主演：威尔·史密斯,贾登·史密斯,坦迪·牛顿",上映时间：2008-01-17
勇敢的心,"主演：梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉",上映时间：1995-05-24(美国)
黑客帝国3：矩阵革命,"主演：基努·里维斯,雨果·维文,凯瑞-安·莫斯",上映时间：2003-11-05
速度与激情5,"主演：范·迪塞尔,保罗·沃克,道恩·强森",上映时间：2011-05-12
驯龙高手,"主演：杰伊·巴鲁切尔,杰拉德·巴特勒,亚美莉卡·费雷拉",上映时间：2010-05-14
少年派的奇幻漂流,"主演：苏拉·沙玛,伊尔凡·可汗,塔布",上映时间：2012-11-22
神偷奶爸,"主演：史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德",上映时间：2010-07-09(美国)
飞屋环游记,"主演：爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森",上映时间：2009-08-04
大话西游之月光宝盒,"主演：周星驰,莫文蔚,吴孟达",上映时间：2014-10-24
闻香识女人,"主演：阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",上映时间：1992-12-23(美国)
怦然心动,"主演：玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因",上映时间：2010-08-06(美国)
飞越疯人院,"主演：杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森",上映时间：1975-11-19(美国)
断背山,"主演：希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",上映时间：2006-01-13(美国)
三傻大闹宝莱坞,"主演：Aamir Hussain Khan,黄渤,卡琳娜·卡普",上映时间：2011-12-08
致命魔术,"主演：休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",上映时间：2006-10-20(美国)
美国往事,"主演：罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文",上映时间：1984-02-17(美国)
鬼子来了,"主演：姜文,姜宏波,陈强",上映时间：2000-05-12(法国戛纳)
美丽心灵,"主演：罗素·克洛,詹妮弗·康纳利,艾德·哈里斯",上映时间：2001-12-21(美国)
蝙蝠侠：黑暗骑士崛起,"主演：克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼",上映时间：2012-08-27
无敌破坏王,"主演：约翰·C·赖利,萨拉·西尔弗曼,简·林奇",上映时间：2012-11-06
夜访吸血鬼,"主演：汤姆·克鲁斯,布拉德·皮特,克尔斯滕·邓斯特",上映时间：1994-11-11(美国)
哈利·波特与死亡圣器（下）,"主演：丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",上映时间：2011-08-04
倩女幽魂,"主演：张国荣,王祖贤,午马",上映时间：2011-04-30
钢琴家,"主演：艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基",上映时间：2002-09-25(法国)
本杰明·巴顿奇事,"主演：布拉德·皮特,凯特·布兰切特,朱莉娅·奥蒙德",上映时间：2008-12-25(美国)
